gene,fisher_pvalue,mean_lfc
COLQ,1.27E-09,1.090730879
ANGPTL2,5.67E-09,0.403939046
LBH,5.67E-09,0.762558879
COL21A1,1.12E-06,0.658303567
CACNA1G,2.39E-06,-1.07441067
CRTAC1,2.39E-06,-0.431753946
DHRS9,2.39E-06,0.492033426
GRM8,2.39E-06,0.704012074
SLC6A6,2.39E-06,0.530222707
FGFR2,2.39E-06,-0.454144868
RASL11B,2.78E-06,0.395945857
IGFBP2,3.14E-06,1.127454571
REC114,5.76E-06,-0.379478558
RPL3L,5.97E-06,0.470250987
PDE8B,9.72E-06,0.525649113
SNX22,9.72E-06,-0.627733501
INPP5A,1.52E-05,0.394482843
ASTN2,1.52E-05,-0.396093552
RNF216,1.76E-05,0.31459678
HCN4,1.81E-05,-0.485282838
LINC01844,1.81E-05,-0.897013033
RCAN1,2.25E-05,0.453691002
RGS6,2.25E-05,-0.290178565
NT5DC2,2.27E-05,-0.31200409
ETV4,2.58E-05,0.579902904
LGR6,2.76E-05,-0.898875914
ODF2,2.76E-05,0.212201505
ASB18,3.48E-05,0.916035369
DGKI,5.21E-05,0.676160191
AQP4,5.22E-05,-0.79398684
ETV5,5.22E-05,0.40133423
CA14,5.22E-05,-0.832430809
PPM1L,5.22E-05,-0.33962422
ADCY6,5.22E-05,0.350824849
NFIC,5.97E-05,-0.119014819
GRIA1,5.97E-05,0.632809807
KCNK3,5.97E-05,0.162240934
CES2,5.97E-05,0.387653245
FGF1,6.12E-05,0.400426446
TMEM71,6.72E-05,0.652859551
MT3,6.72E-05,-0.409958561
OXCT1,6.72E-05,0.486570309
ACTA1,6.83E-05,0.426427513
VPS8,6.83E-05,0.340392778
KCNN2,7.21E-05,-0.517690693
FHL2,8.73E-05,0.85508136
PPP1R1A,8.75E-05,-0.191929142
ASAH1,9.80E-05,0.262240121
CCNDBP1,0.000106462,0.294379818
CHADL,0.000106704,-0.357494472
GJD2,0.000116311,-0.882581675
GABRB3,0.000116311,-0.339588414
SLC7A11,0.00014851,-0.759185754
CALM3,0.000160912,0.137055836
HOOK1,0.000163222,-0.091759039
DLG2,0.000194019,-0.275375543
ADAMTS8,0.000199335,-0.449208012
EHD3,0.000231719,0.364033366
MICAL2,0.000258239,0.144379779
ASB14,0.000286337,0.072520521
TLL2,0.000288159,-0.577460801
FAM78B,0.000288159,-0.440072619
TRIQK,0.000319445,0.331136942
GNAO1,0.00035884,-0.263231457
MGAT4C,0.00035884,-0.316085276
NPPB,0.000408356,2.03417917
MIDN,0.000450764,-0.216000234
MID1IP1,0.000450764,-0.250262816
LGI4,0.000505983,-0.096642027
LINC02941,0.000505983,-0.735610375
CCDC141,0.000745127,0.463563506
CKAP4,0.000752476,0.121853493
LINC01018,0.000783284,-0.534790889
KDELR3,0.000810326,0.349383117
AGK,0.000810326,0.13636044
HIVEP3,0.000874283,-0.287296217
OTOGL,0.000874283,-0.62543528
YWHAQ,0.000874283,0.395522045
LINC03002,0.001009039,0.613881633
CDH2,0.001086287,0.404782203
FRZB,0.001086287,0.45569621
CDON,0.001088561,-0.334093877
LDAF1,0.001088561,0.582336795
MRO,0.001088561,-0.750208368
CACNA1D,0.00109529,-0.589027876
QSOX1,0.00109529,-0.239838705
ADAMTSL4,0.00109529,-0.27259737
C4orf54,0.00109529,-0.409140485
EXT1,0.001106226,0.319343388
STAMBPL1,0.001122253,0.12802262
SORBS2,0.00121154,0.365453623
GOLGA2,0.00121282,0.220296803
C3orf52,0.001239381,0.010550811
CRIP3,0.001239381,0.450080638
ASPN,0.001263355,0.751423391
IL6R,0.001457894,-0.343783325
GLIPR2,0.001752664,0.225321248
TMCC2,0.001752664,-0.359818661
CEL,0.001804268,-0.717119066
C1orf105,0.001804268,-0.808621693
